category,glass_name,nasal_engraving,glass_index,material,glass_supplier_id,glass_supplier_name,image_engraving
"Verres de Proximité ""Free Form Full Back Side""",Proximit,PRX4,1.74,MR174,2399,ADN OPTIS,
"Verres de Proximité ""Free Form Full Back Side""",D,DET4,1.74,MR174,2399,ADN OPTIS,
"Verres de Proximité ""Free Form Full Back Side""","Premier 1,67",PRE7,1.67,MR10,2399,ADN OPTIS,
"Verres de repos ""Free Form Full Back Side""",D,DET5,1.5,ORG,2399,ADN OPTIS,
"Verres de repos ""Free Form Full Back Side""",D,DET6,1.61,MR8,2399,ADN OPTIS,
"Verres de repos ""Free Form Full Back Side""",D,DET7,1.67,MR10,2399,ADN OPTIS,
"Verres de repos ""Free Form Full Back Side""","Bifocal 1,74",B14,1.74,MR174,2399,ADN OPTIS,
"Verres de repos ""Free Form Full Back Side""","Morpho 1,74",MPH4,1.74,MR174,2399,ADN OPTIS,
"Verres de repos ""Free Form Full Back Side""","Sensation 1,74",SEN4,1.74,MR174,2399,ADN OPTIS,
"Verres de repos ""Free Form Full Back Side""",Proximit,PRX4,1.74,MR174,2399,ADN OPTIS,
"Verres de repos ""Free Form Full Back Side""",D,DET4,1.74,MR174,2399,ADN OPTIS,
"Verres de repos ""Free Form Full Back Side""","Premier 1,67",PRE7,1.67,MR10,2399,ADN OPTIS,
"Double foyer segment rond ""Free Form Full Back Side"" Diamètre pastille VP de 25 ou 100mm ""Pastille surfacée et non collée""","Bifocal 1,74",B14,1.74,MR174,2399,ADN OPTIS,
"Double foyer segment rond ""Free Form Full Back Side"" Diamètre pastille VP de 25 ou 100mm ""Pastille surfacée et non collée""","Morpho 1,74",MPH4,1.74,MR174,2399,ADN OPTIS,
"Double foyer segment rond ""Free Form Full Back Side"" Diamètre pastille VP de 25 ou 100mm ""Pastille surfacée et non collée""","Sensation 1,74",SEN4,1.74,MR174,2399,ADN OPTIS,
"Double foyer segment rond ""Free Form Full Back Side"" Diamètre pastille VP de 25 ou 100mm ""Pastille surfacée et non collée""",Proximit,PRX4,1.74,MR174,2399,ADN OPTIS,
"Double foyer segment rond ""Free Form Full Back Side"" Diamètre pastille VP de 25 ou 100mm ""Pastille surfacée et non collée""",D,DET4,1.74,MR174,2399,ADN OPTIS,
"Double foyer segment rond ""Free Form Full Back Side"" Diamètre pastille VP de 25 ou 100mm ""Pastille surfacée et non collée""","Premier 1,67",PRE7,1.67,MR10,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" individualisé  3 niveaux d'individualisation","Morpho 1,74",MPH4,1.74,MR174,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" individualisé  3 niveaux d'individualisation","Sensation 1,74",SEN4,1.74,MR174,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" individualisé  3 niveaux d'individualisation",Proximit,PRX4,1.74,MR174,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" individualisé  3 niveaux d'individualisation",D,DET4,1.74,MR174,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" individualisé  3 niveaux d'individualisation","Premier 1,67",PRE7,1.67,MR10,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" personnalisé 6 niveaux de personnalisation","Sensation 1,74",SEN4,1.74,MR174,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" personnalisé 6 niveaux de personnalisation",Proximit,PRX4,1.74,MR174,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" personnalisé 6 niveaux de personnalisation",D,DET4,1.74,MR174,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" personnalisé 6 niveaux de personnalisation","Premier 1,67",PRE7,1.67,MR10,2399,ADN OPTIS,
"Verres de Proximité ""Free Form Full Back Side""",Proximit,PRX4,1.74,MR174,2399,ADN OPTIS,
"Verres de Proximité ""Free Form Full Back Side""",D,DET4,1.74,MR174,2399,ADN OPTIS,
"Verres de Proximité ""Free Form Full Back Side""","Premier 1,67",PRE7,1.67,MR10,2399,ADN OPTIS,
"Verres de repos ""Free Form Full Back Side""",D,DET4,1.74,MR174,2399,ADN OPTIS,
"Verres de repos ""Free Form Full Back Side""","Premier 1,67",PRE7,1.67,MR10,2399,ADN OPTIS,
"Progressif tous usages ""free-form full back side""","Premier 1,67",PRE7,1.67,MR10,2399,ADN OPTIS,
"Progressif tous usages ""Free-Form Full Back Side""","Premier 1,5",,1.5,CR 39,2399,ADN OPTIS,
"Progressif tous usages ""Free-Form Full Back Side""","Premier 1,6",,1.61,MR8,2399,ADN OPTIS,
"Progressifs tous usages ""Free Form Full Back Side"" 2 couloirs: court/long","Classic 1,5",,1.5,CR 39,2399,ADN OPTIS,
"Progressifs tous usages ""Free Form Full Back Side"" 2 couloirs: court/long","Classic 1,6",,1.61,MR8,2399,ADN OPTIS,
"Progressifs tous usages ""Free Form Full Back Side"" 2 couloirs: court/long","Classic 1,67",,1.67,MR10,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" individualisé  3 niveaux d'individualisation","Morpho 1,5",,1.5,CR39,2399,ADN OPTIS,
